dn_mm,mass_flow_g_s,area_m2,velocity_design,velocity_nist,vol_flow_m3_h,vol_flow_Nm3_h,reynolds_design
25,1,0.0004908738521234052,12.126090902239643,12.536214698298831,21.428571428571427,20.168067226890756,2598.4480504799235
25,5,0.0004908738521234052,60.63045451119822,62.68107349149415,107.14285714285714,100.84033613445378,12992.24025239962
25,10,0.0004908738521234052,121.26090902239643,125.3621469829883,214.28571428571428,201.68067226890756,25984.48050479924
25,20,0.0004908738521234052,242.52181804479287,250.7242939659766,428.57142857142856,403.3613445378151,51968.96100959848
25,40,0.0004908738521234052,485.04363608958573,501.4485879319532,857.1428571428571,806.7226890756302,103937.92201919697
25,100,0.0004908738521234052,1212.6090902239644,1253.6214698298832,2142.8571428571427,2016.8067226890757,259844.8050479924
50,1,0.001963495408493621,3.0315227255599106,3.134053674574708,21.428571428571427,20.168067226890756,1299.2240252399617
50,5,0.001963495408493621,15.157613627799554,15.670268372873538,107.14285714285714,100.84033613445378,6496.12012619981
50,10,0.001963495408493621,30.31522725559911,31.340536745747077,214.28571428571428,201.68067226890756,12992.24025239962
50,20,0.001963495408493621,60.63045451119822,62.68107349149415,428.57142857142856,403.3613445378151,25984.48050479924
50,40,0.001963495408493621,121.26090902239643,125.3621469829883,857.1428571428571,806.7226890756302,51968.96100959848
50,100,0.001963495408493621,303.1522725559911,313.4053674574708,2142.8571428571427,2016.8067226890757,129922.4025239962
100,1,0.007853981633974483,0.7578806813899777,0.783513418643677,21.428571428571427,20.168067226890756,649.6120126199809
100,5,0.007853981633974483,3.7894034069498885,3.9175670932183846,107.14285714285714,100.84033613445378,3248.060063099905
100,10,0.007853981633974483,7.578806813899777,7.835134186436769,214.28571428571428,201.68067226890756,6496.12012619981
100,20,0.007853981633974483,15.157613627799554,15.670268372873538,428.57142857142856,403.3613445378151,12992.24025239962
100,40,0.007853981633974483,30.31522725559911,31.340536745747077,857.1428571428571,806.7226890756302,25984.48050479924
100,100,0.007853981633974483,75.78806813899777,78.3513418643677,2142.8571428571427,2016.8067226890757,64961.2012619981
150,1,0.017671458676442587,0.33683585839554564,0.34822818606385647,21.428571428571427,20.168067226890756,433.0746750799873
150,5,0.017671458676442587,1.6841792919777283,1.7411409303192824,107.14285714285714,100.84033613445378,2165.373375399937
150,10,0.017671458676442587,3.3683585839554566,3.482281860638565,214.28571428571428,201.68067226890756,4330.746750799874
150,20,0.017671458676442587,6.736717167910913,6.96456372127713,428.57142857142856,403.3613445378151,8661.493501599747
150,40,0.017671458676442587,13.473434335821826,13.92912744255426,857.1428571428571,806.7226890756302,17322.987003199494
150,100,0.017671458676442587,33.68358583955457,34.822818606385646,2142.8571428571427,2016.8067226890757,43307.46750799873
200,1,0.031415926535897934,0.18947017034749442,0.19587835466091924,21.428571428571427,20.168067226890756,324.80600630999044
200,5,0.031415926535897934,0.9473508517374721,0.9793917733045961,107.14285714285714,100.84033613445378,1624.0300315499526
200,10,0.031415926535897934,1.8947017034749443,1.9587835466091923,214.28571428571428,201.68067226890756,3248.060063099905
200,20,0.031415926535897934,3.7894034069498885,3.9175670932183846,428.57142857142856,403.3613445378151,6496.12012619981
200,40,0.031415926535897934,7.578806813899777,7.835134186436769,857.1428571428571,806.7226890756302,12992.24025239962
200,100,0.031415926535897934,18.947017034749443,19.587835466091924,2142.8571428571427,2016.8067226890757,32480.60063099905
